iter	Passed	Remaining
0	2	200
1	3	194
2	5	186
3	7	176
4	9	184
5	11	182
6	13	180
7	15	181
8	18	184
9	20	184
10	22	184
11	24	182
12	26	179
13	29	178
14	31	176
15	33	173
16	35	171
17	37	169
18	39	166
19	41	165
20	43	163
21	45	160
22	47	158
23	49	156
24	52	156
25	54	154
26	56	152
27	58	150
28	60	148
29	62	146
30	65	144
31	67	142
32	69	140
33	71	137
34	73	136
35	75	134
36	77	131
37	79	129
38	81	127
39	83	124
40	85	122
41	85	118
42	87	115
43	88	112
44	90	110
45	92	108
46	93	105
47	95	103
48	96	100
49	98	98
50	100	96
51	101	93
52	103	91
53	104	89
54	105	86
55	107	84
56	108	82
57	110	79
58	111	77
59	113	75
60	114	73
61	116	71
62	117	68
63	118	66
64	119	64
65	121	62
66	122	60
67	123	58
68	124	56
69	126	54
70	127	52
71	128	49
72	129	47
73	130	45
74	132	44
75	133	42
76	134	40
77	135	38
78	136	36
79	138	34
80	139	32
81	141	31
82	143	29
83	145	27
84	147	26
85	150	24
86	152	22
87	153	20
88	155	19
89	157	17
90	158	15
91	161	14
92	162	12
93	164	10
94	166	8
95	167	6
96	169	5
97	171	3
98	172	1
99	173	0
